,competitor_name,country,product_views,product_name_competitor,category_path,brand,list_price_competitor,promo_price_competitor,currency,discount_savings,stock_information,rating,reviews,seller_name,product_description,store_location,match,products_sold,transaction,avg_quality_rating_and_review,avg_accuracy_rating_and_review,total_transaction,list_price_lazada,promo_price_lazada,score,input,error,url_origin
10,Apple SG,Singapore,,Refurbished 15-inch MacBook Air Apple M2 Chip with 8‑Core CPU and 10‑Core GPU - Starlight,Home>Accessories,Apple,1489,,SGD,,in stock,,,Apple,The new 15‑inch MacBook Air makes room for more of what you love with a spacious Liquid Retina display. Supercharged by the M2 chip and with up to 18 hours of battery life.³,Singapore,Yes,,Online,,,,,,,"{'product_name': 'Điện thoại Samsung Galaxy M14 5G 4GB|128GB ; 4GB|64GB ; 6GB|128GB', 'product_name_en': 'Điện thoại Samsung Galaxy M14 5G 4GB|128GB ; 4GB|64GB ; 6GB|128GB', 'brand': '', 'sku': ''}",,https://www.lazada.vn/products/iphone-15-plus-hang-chinh-hang-vna-i2417254495.html
11,Apple SG,Singapore,,Refurbished 15-inch MacBook Air Apple M2 Chip with 8‑Core CPU and 10‑Core GPU - Space Grey,Home>Accessories,Apple,1489,,SGD,,in stock,,,Apple,The new 15‑inch MacBook Air makes room for more of what you love with a spacious Liquid Retina display. Supercharged by the M2 chip and with up to 18 hours of battery life.³,Singapore,Yes,,Online,,,,,,,"{'product_name': 'Điện thoại thông minh POCO C65 | 6.74"" HD+ 90Hz | Helio G85 | 5000mAh', 'product_name_en': 'Điện thoại thông minh POCO C65 | 6.74"" HD+ 90Hz | Helio G85 | 5000mAh', 'brand': '', 'sku': ''}",,https://www.lazada.vn/products/iphone-15-plus-hang-chinh-hang-vna-i2417254495.html
12,Apple SG,Singapore,,iPhone 11 Pro Silicone Case - Pine Green,Home>Accessories,Apple,59.5,,SGD,,out of stock,,,Apple,The green Silicone Case for iPhone 11 Pro protects and fits snugly over your iPhone. Buy now at apple.com.,Singapore,Yes,,Online,,,,,,,"{'product_name': 'iPhone 11 - Hàng Chính Hãng VN/A', 'product_name_en': 'iPhone 11 - VN/A Authentic Product', 'brand': '', 'sku': ''}",,https://www.lazada.vn/products/iphone-15-plus-hang-chinh-hang-vna-i2417254495.html
13,Apple SG,Singapore,,iPhone FineWoven Wallet with MagSafe - Evergreen,Home>Accessories,Apple,89.8,,SGD,,in stock,,,Apple,Keep your ID and credit cards close with a green FineWoven Wallet with MagSafe. Buy now at apple.com.,Singapore,Yes,,Online,,,,,,,"{'product_name': 'Điện thoại Tecno SPARK 20 Pro Plus (8+8)GB /256GB', 'product_name_en': 'Điện thoại Tecno SPARK 20 Pro Plus (8+8)GB /256GB', 'brand': '', 'sku': ''}",,https://www.lazada.vn/products/iphone-15-plus-hang-chinh-hang-vna-i2417254495.html
14,Apple SG,Singapore,,iPhone 15 Silicone Case with MagSafe - Pink,Home>Accessories,Apple,75.65,,SGD,,in stock,,,Apple,Give your iPhone 15 great protection and a faster wireless charge with the pink Silicone Case with MagSafe. Buy now at apple.com.,Singapore,Yes,,Online,,,,,,,"{'product_name': 'Kem dưỡng nâng cơ ngừa lão hóa Skincode Cellular Day Cream SPF 15 50ml - MS 5015', 'product_name_en': 'Kem dưỡng nâng cơ ngừa lão hóa Skincode Cellular Day Cream SPF 15 50ml - MS 5015', 'brand': '', 'sku': ''}",,https://www.lazada.vn/products/iphone-15-plus-hang-chinh-hang-vna-i2417254495.html
15,Apple SG,Singapore,,iPhone 15 Pro Max Silicone Case with MagSafe - Sunshine,Home>Accessories,Apple,75.65,,SGD,,in stock,,,Apple,Give your iPhone 15 Pro Max great protection and a faster wireless charge with the yellow Silicone Case with MagSafe. Buy now at apple.com.,Singapore,Yes,,Online,,,,,,,"{'product_name': 'Điện thoại thông minh Xiaomi 14 (12+256GB)', 'product_name_en': 'Điện thoại thông minh Xiaomi 14 (12+256GB)', 'brand': '', 'sku': ''}",,https://www.lazada.vn/products/iphone-15-plus-hang-chinh-hang-vna-i2417254495.html
16,Apple SG,Singapore,,iPhone 15 Pro Max Silicone Case with MagSafe - Soft Mint,Home>Accessories,Apple,75.65,,SGD,,in stock,,,Apple,Give your iPhone 15 Pro Max great protection and a faster wireless charge with the green Silicone Case with MagSafe. Buy now at apple.com.,Singapore,Yes,,Online,,,,,,,"{'product_name': 'Kem dưỡng nâng cơ ngừa lão hóa Skincode Cellular Day Cream SPF 15 50ml - MS 5015', 'product_name_en': 'Kem dưỡng nâng cơ ngừa lão hóa Skincode Cellular Day Cream SPF 15 50ml - MS 5015', 'brand': '', 'sku': ''}",,https://www.lazada.vn/products/iphone-15-plus-hang-chinh-hang-vna-i2417254495.html
17,Apple SG,Singapore,,iPhone 15 Silicone Case with MagSafe - Light Blue,Home>Accessories,Apple,75.65,,SGD,,in stock,,,Apple,Give your iPhone 15 great protection and a faster wireless charge with the light blue Silicone Case with MagSafe. Buy now at apple.com.,Singapore,Yes,,Online,,,,,,,"{'product_name': 'Điện thoại Tecno SPARK 20 Pro Plus (8+8)GB /256GB', 'product_name_en': 'Điện thoại Tecno SPARK 20 Pro Plus (8+8)GB /256GB', 'brand': '', 'sku': ''}",,https://www.lazada.vn/products/iphone-15-plus-hang-chinh-hang-vna-i2417254495.html
18,Apple SG,Singapore,,iPhone 15 Plus Silicone Case with MagSafe - Sunshine,Home>Accessories,Apple,75.65,,SGD,,in stock,,,Apple,Give your iPhone 15 Plus great protection and a faster wireless charge with the yellow Silicone Case with MagSafe. Buy now at apple.com.,Singapore,Yes,,Online,,,,,,,"{'product_name': 'iPhone 15 - Hàng Chính Hãng VN/A', 'product_name_en': 'iPhone 15 - Hàng Chính Hãng VN/A', 'brand': '', 'sku': ''}",,https://www.lazada.vn/products/iphone-15-plus-hang-chinh-hang-vna-i2417254495.html
19,Apple SG,Singapore,,iPhone 15 Pro Silicone Case with MagSafe - Pink,Home>Accessories,Apple,75.65,,SGD,,in stock,,,Apple,Give your iPhone 15 Pro great protection and a faster wireless charge with the pink Silicone Case with MagSafe. Buy now at apple.com.,Singapore,Yes,,Online,,,,,,,"{'product_name': 'Điện thoại Tecno SPARK 20 Pro Plus (8+8)GB /256GB', 'product_name_en': 'Điện thoại Tecno SPARK 20 Pro Plus (8+8)GB /256GB', 'brand': '', 'sku': ''}",,https://www.lazada.vn/products/iphone-15-plus-hang-chinh-hang-vna-i2417254495.html
20,Apple SG,Singapore,,iPhone 11 Pro Silicone Case - Pomegranate,Home>Accessories,Apple,59.5,,SGD,,out of stock,,,Apple,The pink Silicone Case for iPhone 11 Pro protects and fits snugly over your iPhone. Buy now at apple.com.,Singapore,Yes,,Online,,,,,,,"{'product_name': 'iPhone 11 - Hàng Chính Hãng VN/A', 'product_name_en': 'iPhone 11 - VN/A Authentic Product', 'brand': '', 'sku': ''}",,https://www.lazada.vn/products/iphone-15-plus-hang-chinh-hang-vna-i2417254495.html
